happiness_score,gdp,family,health,freedom,generosity,corruption,region,year,country,social_wellbeing,positive_factors
6.946,1.56391,1.21963,0.91894,0.61583,0.28034,0.37798,Western Europe,2015,Luxembourg,2.13857,2.0820999999999996
6.94,1.33596,1.36948,0.89533,0.61777,0.45901,0.28703,Western Europe,2015,Ireland,2.2648099999999998,2.12571
6.937,1.30782,1.28566,0.89667,0.5845,0.2225,0.2254,Western Europe,2015,Belgium,2.18233,1.8894199999999999
6.901,1.42727,1.12575,0.80925,0.64157,0.26428,0.38583,Middle East and Northern Africa,2015,United Arab Emirates,1.935,1.9472899999999997
6.867,1.26637,1.28548,0.90943,0.59625,0.51912,0.32067,Western Europe,2015,United Kingdom,2.19491,2.06107
6.853,1.36011,1.08182,0.76276,0.63274,0.21542,0.32524,Middle East and Northern Africa,2015,Oman,1.84458,1.8830299999999998
6.81,1.04424,1.25596,0.72052,0.42908,0.05841,0.11069,Latin America and Caribbean,2015,Venezuela,1.97648,1.4210400000000003
6.798,1.52186,1.02,1.02525,0.54252,0.31105,0.4921,Southeastern Asia,2015,Singapore,2.0452500000000002,1.8833299999999997
6.786,1.06353,1.1985,0.79661,0.5421,0.24434,0.0927,Latin America and Caribbean,2015,Panama,1.99511,1.75727
6.75,1.32792,1.29937,0.89186,0.61477,0.28214,0.21843,Western Europe,2015,Germany,2.19123,2.0063999999999997
6.67,1.10715,1.12447,0.85857,0.44132,0.33363,0.12869,Latin America and Caribbean,2015,Chile,1.9830400000000001,1.75341
6.611,1.69042,1.0786,0.79733,0.6404,0.32573,0.52208,Middle East and Northern Africa,2015,Qatar,1.8759299999999999,2.1344700000000003
6.575,1.27778,1.26038,0.94579,0.55011,0.12332,0.20646,Western Europe,2015,France,2.20617,1.74475
6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484,Latin America and Caribbean,2015,Argentina,2.03546,1.53292
6.505,1.17898,1.20643,0.84483,0.46364,0.10686,0.02652,Central and Eastern Europe,2015,Czech Republic,2.05126,1.7229599999999998
6.485,1.06166,1.2089,0.8116,0.60362,0.2324,0.24558,Latin America and Caribbean,2015,Uruguay,2.0205,1.6521000000000001
6.477,0.91861,1.24018,0.69077,0.53466,0.18401,0.0512,Latin America and Caribbean,2015,Colombia,1.9309500000000002,1.5860800000000002
